antigenicity_score,antigen_prediction
-0.0844,Probable Non-Antigen
0.3218,Probable Non-Antigen
-0.7651,Probable Non-Antigen
0.5672,Probable Antigen
0.6912,Probable Antigen
1.0685,Probable Antigen
0.7549,Probable Antigen
0.4778,Probable Non-Antigen
0.3862,Probable Non-Antigen
0.3371,Probable Non-Antigen
0.5758,Probable Antigen
0.5109,Probable Antigen
0.613,Probable Antigen
0.0125,Probable Non-Antigen
0.5859,Probable Antigen
-0.3089,Probable Non-Antigen
1.6278,Probable Antigen
0.0326,Probable Non-Antigen
0.549,Probable Antigen
0.2701,Probable Non-Antigen
-0.0314,Probable Non-Antigen
0.6416,Probable Antigen
0.5097,Probable Antigen
0.153,Probable Non-Antigen
0.6748,Probable Antigen
0.6409,Probable Antigen
-0.0967,Probable Non-Antigen
0.2797,Probable Non-Antigen
-0.1362,Probable Non-Antigen
0.2484,Probable Non-Antigen
0.7317,Probable Antigen
0.6625,Probable Antigen
0.6185,Probable Antigen
0.8285,Probable Antigen
0.4137,Probable Non-Antigen
0.9881,Probable Antigen
0.5107,Probable Antigen
0.1588,Probable Non-Antigen
1.011,Probable Antigen
0.7018,Probable Antigen
0.0673,Probable Non-Antigen
0.852,Probable Antigen
0.4883,Probable Non-Antigen
0.702,Probable Antigen
0.8496,Probable Antigen
-0.0834,Probable Non-Antigen
0.6995,Probable Antigen
0.3312,Probable Non-Antigen
-0.3189,Probable Non-Antigen
0.3114,Probable Non-Antigen
0.6828,Probable Antigen
1.0976,Probable Antigen
0.0009,Probable Non-Antigen
0.9474,Probable Antigen
0.259,Probable Non-Antigen
1.7462,Probable Antigen
1.4192,Probable Antigen
-0.0835,Probable Non-Antigen
0.7521,Probable Antigen
0.8987,Probable Antigen
0.1828,Probable Non-Antigen
0.7487,Probable Antigen
0.62,Probable Antigen
1.416,Probable Antigen
0.2187,Probable Non-Antigen
0.2224,Probable Non-Antigen
0.4387,Probable Non-Antigen
0.4644,Probable Non-Antigen
0.0554,Probable Non-Antigen
0.2129,Probable Non-Antigen
0.2,Probable Non-Antigen
0.1499,Probable Non-Antigen
1.0257,Probable Antigen
0.0343,Probable Non-Antigen
0.4483,Probable Non-Antigen
1.4835,Probable Antigen
0.5871,Probable Antigen
0.6621,Probable Antigen
2.6591,Probable Antigen
2.6927,Probable Antigen
1.454,Probable Antigen
1.0138,Probable Antigen
0.6066,Probable Antigen
0.6806,Probable Antigen
0.4311,Probable Non-Antigen
0.6672,Probable Antigen
1.139,Probable Antigen
0.3516,Probable Non-Antigen
0.57,Probable Antigen
-0.1135,Probable Non-Antigen
0.0207,Probable Non-Antigen
0.4538,Probable Non-Antigen
0.2566,Probable Non-Antigen
0.1143,Probable Non-Antigen
0.2095,Probable Non-Antigen
1.0484,Probable Antigen
0.5339,Probable Antigen
0.4587,Probable Non-Antigen
-0.0708,Probable Non-Antigen
0.4654,Probable Non-Antigen
0.5234,Probable Antigen
0.3925,Probable Non-Antigen
0.2297,Probable Non-Antigen
0.1513,Probable Non-Antigen
0.4532,Probable Non-Antigen
0.9141,Probable Antigen
0.4768,Probable Non-Antigen
0.3178,Probable Non-Antigen
-0.2946,Probable Non-Antigen
0.9095,Probable Antigen
-0.0144,Probable Non-Antigen
0.4046,Probable Non-Antigen
0.1704,Probable Non-Antigen
0.3643,Probable Non-Antigen
0.0609,Probable Non-Antigen
1.3769,Probable Antigen
0.6414,Probable Antigen
-0.129,Probable Non-Antigen
-0.0305,Probable Non-Antigen
1.3791,Probable Antigen
1.2301,Probable Antigen
0.8054,Probable Antigen
0.9379,Probable Antigen
0.4072,Probable Non-Antigen
0.1273,Probable Non-Antigen
0.5763,Probable Antigen
0.8286,Probable Antigen
0.4585,Probable Non-Antigen
0.5719,Probable Antigen
0.7354,Probable Antigen
0.0375,Probable Non-Antigen
0.8391,Probable Antigen
1.2828,Probable Antigen
0.3688,Probable Non-Antigen
0.5316,Probable Antigen
0.5731,Probable Antigen
0.9885,Probable Antigen
-0.3003,Probable Non-Antigen
-0.7169,Probable Non-Antigen
0.2247,Probable Non-Antigen
0.1043,Probable Non-Antigen
0.4213,Probable Non-Antigen
0.013,Probable Non-Antigen
0.9601,Probable Antigen
0.931,Probable Antigen
0.5985,Probable Antigen
0.3128,Probable Non-Antigen
0.3917,Probable Non-Antigen
1.0015,Probable Antigen
0.0023,Probable Non-Antigen
1.4738,Probable Antigen
0.2069,Probable Non-Antigen
0.9109,Probable Antigen
0.4662,Probable Non-Antigen
1.4177,Probable Antigen
-0.4947,Probable Non-Antigen
0.3354,Probable Non-Antigen
0.8469,Probable Antigen
0.6768,Probable Antigen
0.5691,Probable Antigen
0.7067,Probable Antigen
0.4863,Probable Non-Antigen
0.1219,Probable Non-Antigen
0.5732,Probable Antigen
-0.0998,Probable Non-Antigen
0.4153,Probable Non-Antigen
1.4212,Probable Antigen
0.0745,Probable Non-Antigen
1.2378,Probable Antigen
0.3195,Probable Non-Antigen
0.8132,Probable Antigen
1.1117,Probable Antigen
1.3128,Probable Antigen
0.5078,Probable Antigen
0.2521,Probable Non-Antigen
-0.1424,Probable Non-Antigen
1.4199,Probable Antigen
