antigenicity_score,antigen_prediction
0.3258,Probable Non-Antigen
0.0192,Probable Non-Antigen
0.6333,Probable Antigen
0.8469,Probable Antigen
0.1588,Probable Non-Antigen
0.2078,Probable Non-Antigen
1.1086,Probable Antigen
0.4688,Probable Non-Antigen
1.0586,Probable Antigen
0.4502,Probable Non-Antigen
0.4577,Probable Non-Antigen
0.2013,Probable Non-Antigen
0.7709,Probable Antigen
0.6933,Probable Antigen
0.2278,Probable Non-Antigen
0.3573,Probable Non-Antigen
0.4242,Probable Non-Antigen
0.2532,Probable Non-Antigen
0.6251,Probable Antigen
0.5736,Probable Antigen
0.3704,Probable Non-Antigen
0.8367,Probable Antigen
0.0578,Probable Non-Antigen
0.2342,Probable Non-Antigen
1.8034,Probable Antigen
0.4901,Probable Non-Antigen
0.4141,Probable Non-Antigen
0.1851,Probable Non-Antigen
0.0337,Probable Non-Antigen
0.6422,Probable Antigen
0.9662,Probable Antigen
0.9573,Probable Antigen
0.2879,Probable Non-Antigen
0.2177,Probable Non-Antigen
0.8311,Probable Antigen
0.8456,Probable Antigen
0.3138,Probable Non-Antigen
0.4697,Probable Non-Antigen
0.5995,Probable Antigen
0.3624,Probable Non-Antigen
0.6477,Probable Antigen
0.1019,Probable Non-Antigen
0.7566,Probable Antigen
0.5063,Probable Antigen
-0.1857,Probable Non-Antigen
-0.0013,Probable Non-Antigen
0.428,Probable Non-Antigen
0.9777,Probable Antigen
0.7038,Probable Antigen
0.1014,Probable Non-Antigen
0.1366,Probable Non-Antigen
0.4072,Probable Non-Antigen
0.3792,Probable Non-Antigen
0.7282,Probable Antigen
0.1883,Probable Non-Antigen
0.4459,Probable Non-Antigen
0.1836,Probable Non-Antigen
0.3731,Probable Non-Antigen
0.1097,Probable Non-Antigen
0.4585,Probable Non-Antigen
1.1784,Probable Antigen
-0.1578,Probable Non-Antigen
0.3664,Probable Non-Antigen
0.6513,Probable Antigen
1.2355,Probable Antigen
0.2734,Probable Non-Antigen
0.6642,Probable Antigen
0.8043,Probable Antigen
0.4766,Probable Non-Antigen
-0.1069,Probable Non-Antigen
-0.2507,Probable Non-Antigen
0.2197,Probable Non-Antigen
0.167,Probable Non-Antigen
0.4334,Probable Non-Antigen
0.1537,Probable Non-Antigen
1.1327,Probable Antigen
0.9829,Probable Antigen
0.5722,Probable Antigen
0.2357,Probable Non-Antigen
0.3557,Probable Non-Antigen
0.3788,Probable Non-Antigen
0.5721,Probable Antigen
0.1341,Probable Non-Antigen
-0.0082,Probable Non-Antigen
-0.0348,Probable Non-Antigen
0.7637,Probable Antigen
0.3722,Probable Non-Antigen
0.6403,Probable Antigen
0.179,Probable Non-Antigen
1.0485,Probable Antigen
0.705,Probable Antigen
0.2446,Probable Non-Antigen
0.4116,Probable Non-Antigen
0.8971,Probable Antigen
0.2095,Probable Non-Antigen
0.9458,Probable Antigen
1.0227,Probable Antigen
0.5052,Probable Antigen
0.3572,Probable Non-Antigen
0.8912,Probable Antigen
-0.4433,Probable Non-Antigen
-0.2267,Probable Non-Antigen
0.0674,Probable Non-Antigen
0.032,Probable Non-Antigen
0.2828,Probable Non-Antigen
0.352,Probable Non-Antigen
-0.2088,Probable Non-Antigen
0.2372,Probable Non-Antigen
-0.1565,Probable Non-Antigen
-0.2388,Probable Non-Antigen
0.5606,Probable Antigen
-0.4784,Probable Non-Antigen
0.238,Probable Non-Antigen
0.7704,Probable Antigen
-1.0224,Probable Non-Antigen
0.1892,Probable Non-Antigen
0.1601,Probable Non-Antigen
0.1389,Probable Non-Antigen
-0.3654,Probable Non-Antigen
0.0089,Probable Non-Antigen
0.6982,Probable Antigen
0.3294,Probable Non-Antigen
-0.0651,Probable Non-Antigen
0.6662,Probable Antigen
0.0415,Probable Non-Antigen
0.1871,Probable Non-Antigen
0.79,Probable Antigen
0.9568,Probable Antigen
1.6214,Probable Antigen
0.3053,Probable Non-Antigen
0.0428,Probable Non-Antigen
0.1895,Probable Non-Antigen
0.2689,Probable Non-Antigen
0.722,Probable Antigen
0.4698,Probable Non-Antigen
0.6286,Probable Antigen
0.1905,Probable Non-Antigen
1.2888,Probable Antigen
0.6421,Probable Antigen
0.5274,Probable Antigen
0.6346,Probable Antigen
0.3221,Probable Non-Antigen
0.4035,Probable Non-Antigen
0.1254,Probable Non-Antigen
0.5116,Probable Antigen
0.3028,Probable Non-Antigen
0.6649,Probable Antigen
0.0501,Probable Non-Antigen
0.2946,Probable Non-Antigen
0.1604,Probable Non-Antigen
-0.0217,Probable Non-Antigen
0.2826,Probable Non-Antigen
-0.3838,Probable Non-Antigen
0.7086,Probable Antigen
0.7869,Probable Antigen
0.5023,Probable Antigen
-0.2022,Probable Non-Antigen
-0.3426,Probable Non-Antigen
0.5836,Probable Antigen
0.1906,Probable Non-Antigen
-0.0895,Probable Non-Antigen
0.1095,Probable Non-Antigen
0.5289,Probable Antigen
0.4575,Probable Non-Antigen
0.7316,Probable Antigen
0.4157,Probable Non-Antigen
-0.0382,Probable Non-Antigen
0.3411,Probable Non-Antigen
0.2916,Probable Non-Antigen
0.1401,Probable Non-Antigen
0.4586,Probable Non-Antigen
0.1568,Probable Non-Antigen
0.2845,Probable Non-Antigen
0.2488,Probable Non-Antigen
0.9254,Probable Antigen
0.9098,Probable Antigen
0.1067,Probable Non-Antigen
0.7563,Probable Antigen
0.0375,Probable Non-Antigen
0.9214,Probable Antigen
0.5403,Probable Antigen
0.4763,Probable Non-Antigen
0.309,Probable Non-Antigen
0.0496,Probable Non-Antigen
0.0203,Probable Non-Antigen
0.1257,Probable Non-Antigen
0.3177,Probable Non-Antigen
0.0915,Probable Non-Antigen
0.5858,Probable Antigen
0.7981,Probable Antigen
0.8767,Probable Antigen
0.5966,Probable Antigen
-0.0712,Probable Non-Antigen
0.765,Probable Antigen
0.6125,Probable Antigen
-0.0341,Probable Non-Antigen
0.1057,Probable Non-Antigen
0.8306,Probable Antigen
1.5023,Probable Antigen
0.4768,Probable Non-Antigen
0.4475,Probable Non-Antigen
0.3158,Probable Non-Antigen
0.5942,Probable Antigen
0.9223,Probable Antigen
0.4055,Probable Non-Antigen
0.5178,Probable Antigen
0.2197,Probable Non-Antigen
0.415,Probable Non-Antigen
0.3131,Probable Non-Antigen
0.4504,Probable Non-Antigen
0.0154,Probable Non-Antigen
0.4461,Probable Non-Antigen
0.7744,Probable Antigen
0.5753,Probable Antigen
0.0665,Probable Non-Antigen
0.7955,Probable Antigen
0.5358,Probable Antigen
0.0343,Probable Non-Antigen
0.6842,Probable Antigen
0.5382,Probable Antigen
0.5383,Probable Antigen
0.5304,Probable Antigen
0.1059,Probable Non-Antigen
0.2635,Probable Non-Antigen
0.8216,Probable Antigen
0.9133,Probable Antigen
1.518,Probable Antigen
0.1871,Probable Non-Antigen
0.2598,Probable Non-Antigen
0.2954,Probable Non-Antigen
0.244,Probable Non-Antigen
0.623,Probable Antigen
0.3665,Probable Non-Antigen
-0.0671,Probable Non-Antigen
0.4353,Probable Non-Antigen
0.2126,Probable Non-Antigen
0.6646,Probable Antigen
0.6823,Probable Antigen
-0.4287,Probable Non-Antigen
0.0503,Probable Non-Antigen
0.3418,Probable Non-Antigen
0.2066,Probable Non-Antigen
0.7097,Probable Antigen
0.1516,Probable Non-Antigen
0.9294,Probable Antigen
0.5775,Probable Antigen
0.3984,Probable Non-Antigen
0.4481,Probable Non-Antigen
0.5817,Probable Antigen
0.0951,Probable Non-Antigen
0.2997,Probable Non-Antigen
0.4661,Probable Non-Antigen
0.405,Probable Non-Antigen
0.4646,Probable Non-Antigen
0.1842,Probable Non-Antigen
0.9458,Probable Antigen
0.5114,Probable Antigen
0.5925,Probable Antigen
0.117,Probable Non-Antigen
0.0134,Probable Non-Antigen
0.2168,Probable Non-Antigen
0.9813,Probable Antigen
0.1366,Probable Non-Antigen
-0.7169,Probable Non-Antigen
0.6657,Probable Antigen
1.2812,Probable Antigen
0.3529,Probable Non-Antigen
-0.4373,Probable Non-Antigen
0.9747,Probable Antigen
0.0247,Probable Non-Antigen
0.2967,Probable Non-Antigen
0.2984,Probable Non-Antigen
0.719,Probable Antigen
0.908,Probable Antigen
0.4288,Probable Non-Antigen
0.8033,Probable Antigen
0.4679,Probable Non-Antigen
0.4214,Probable Non-Antigen
0.6671,Probable Antigen
-0.0998,Probable Non-Antigen
0.1962,Probable Non-Antigen
0.5981,Probable Antigen
0.6709,Probable Antigen
0.0484,Probable Non-Antigen
1.4562,Probable Antigen
0.7026,Probable Antigen
0.512,Probable Antigen
-0.2178,Probable Non-Antigen
-0.0245,Probable Non-Antigen
-0.1246,Probable Non-Antigen
-0.1091,Probable Non-Antigen
1.2054,Probable Antigen
-0.0855,Probable Non-Antigen
0.946,Probable Antigen
0.917,Probable Antigen
0.4404,Probable Non-Antigen
0.3767,Probable Non-Antigen
0.4925,Probable Non-Antigen
0.3277,Probable Non-Antigen
0.3806,Probable Non-Antigen
-0.039,Probable Non-Antigen
0.387,Probable Non-Antigen
0.7495,Probable Antigen
